epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,395.459,0.20041,0.98861,1,0.0539,0.000553868,0.000553868,0.000553868
2,795.406,0.10164,0.98861,1,0.03416,0.00109855,0.00109855,0.00109855
3,1190.4,0.10297,0.9795,1,0.09079,0.00163223,0.00163223,0.00163223
4,1589.63,0.08763,0.97722,1,0.09311,0.00161749,0.00161749,0.00161749
5,2007.89,0.08896,0.98633,1,0.04403,0.00160099,0.00160099,0.00160099
6,2403.1,0.07753,0.97494,1,0.09167,0.00158448,0.00158448,0.00158448
7,2809.02,0.06423,0.99089,1,0.05356,0.00156798,0.00156798,0.00156798
8,3205.79,0.06756,0.98861,1,0.03577,0.00155148,0.00155148,0.00155148
9,3599.8,0.06166,0.97494,1,0.08881,0.00153497,0.00153497,0.00153497
10,3989.49,0.05916,0.98178,1,0.05097,0.00151847,0.00151847,0.00151847
11,4381.28,0.0553,0.99089,1,0.04468,0.00150197,0.00150197,0.00150197
12,4776.62,0.068,0.98405,1,0.04723,0.00148546,0.00148546,0.00148546
13,5170.35,0.05619,0.99317,1,0.03627,0.00146896,0.00146896,0.00146896
14,5557.01,0.06551,0.98633,1,0.04428,0.00145246,0.00145246,0.00145246
15,5947.52,0.05484,0.99317,1,0.04341,0.00143595,0.00143595,0.00143595
16,6340.87,0.04898,0.98178,1,0.05723,0.00141945,0.00141945,0.00141945
17,6734.12,0.04846,0.99317,1,0.04012,0.00140295,0.00140295,0.00140295
18,7125.12,0.05694,0.98633,1,0.03674,0.00138644,0.00138644,0.00138644
19,7514.86,0.05019,0.98861,1,0.03804,0.00136994,0.00136994,0.00136994
20,7901.16,0.04882,0.99089,1,0.02948,0.00135344,0.00135344,0.00135344
21,8290.74,0.04415,0.99089,1,0.03128,0.00133693,0.00133693,0.00133693
22,8683.1,0.04819,0.98861,1,0.04108,0.00132043,0.00132043,0.00132043
23,9075.82,0.04796,0.98405,1,0.0568,0.00130393,0.00130393,0.00130393
24,9465.78,0.03902,0.98861,1,0.06403,0.00128742,0.00128742,0.00128742
25,9854.84,0.06543,0.99317,1,0.04413,0.00127092,0.00127092,0.00127092
26,10247,0.05898,0.98178,1,0.03963,0.00125442,0.00125442,0.00125442
27,10636.6,0.04726,0.98633,1,0.06152,0.00123791,0.00123791,0.00123791
28,11031.1,0.0458,0.98861,1,0.04869,0.00122141,0.00122141,0.00122141
29,11422,0.04593,0.98633,1,0.05923,0.00120491,0.00120491,0.00120491
30,11812.4,0.04223,0.98178,1,0.04832,0.0011884,0.0011884,0.0011884
31,12203.7,0.04586,0.98861,1,0.06207,0.0011719,0.0011719,0.0011719
32,12594.3,0.04326,0.99544,1,0.05989,0.0011554,0.0011554,0.0011554
33,12984.4,0.04693,0.99317,1,0.06674,0.00113889,0.00113889,0.00113889
34,13373.1,0.04365,0.99089,1,0.02873,0.00112239,0.00112239,0.00112239
35,13763,0.04728,0.99317,1,0.06754,0.00110589,0.00110589,0.00110589
36,14157.8,0.04195,0.99089,1,0.0615,0.00108938,0.00108938,0.00108938
37,14555,0.04174,0.99317,1,0.04309,0.00107288,0.00107288,0.00107288
38,14947,0.0394,0.98861,1,0.06055,0.00105638,0.00105638,0.00105638
39,15343.8,0.04497,0.99317,1,0.03913,0.00103987,0.00103987,0.00103987
40,15737.3,0.04204,0.99544,1,0.03222,0.00102337,0.00102337,0.00102337
41,16131.3,0.03937,0.98861,1,0.04968,0.00100687,0.00100687,0.00100687
42,16524.9,0.03256,0.99089,1,0.04501,0.000990365,0.000990365,0.000990365
43,16922.1,0.03324,0.99317,1,0.04651,0.000973861,0.000973861,0.000973861
44,17317.7,0.03749,0.99317,1,0.03873,0.000957358,0.000957358,0.000957358
45,17713.8,0.03667,0.99089,1,0.06206,0.000940855,0.000940855,0.000940855
46,18108.2,0.03596,0.99089,1,0.05658,0.000924352,0.000924352,0.000924352
47,18502.8,0.03923,0.99317,1,0.0426,0.000907848,0.000907848,0.000907848
48,18896.3,0.03607,0.99317,1,0.05375,0.000891345,0.000891345,0.000891345
49,19291.6,0.03593,0.99089,1,0.05807,0.000874842,0.000874842,0.000874842
50,19685.1,0.03187,0.99317,1,0.05102,0.000858338,0.000858338,0.000858338
51,20080,0.03236,0.99317,1,0.04959,0.000841835,0.000841835,0.000841835
52,20475.5,0.03437,0.98861,1,0.05683,0.000825332,0.000825332,0.000825332
53,20870.4,0.03599,0.99544,1,0.04312,0.000808828,0.000808828,0.000808828
54,21264.7,0.03056,0.99089,1,0.05048,0.000792325,0.000792325,0.000792325
55,21654.3,0.0372,0.99089,1,0.06201,0.000775822,0.000775822,0.000775822
56,22048.8,0.0352,0.99544,1,0.05831,0.000759318,0.000759318,0.000759318
57,22445.1,0.03456,0.99544,1,0.03777,0.000742815,0.000742815,0.000742815
58,22839.5,0.04181,0.99544,1,0.03353,0.000726312,0.000726312,0.000726312
59,23238.4,0.03126,0.99544,1,0.06298,0.000709809,0.000709809,0.000709809
60,23633.2,0.03191,0.99544,1,0.05277,0.000693305,0.000693305,0.000693305
61,24031.9,0.03419,0.99544,1,0.0503,0.000676802,0.000676802,0.000676802
62,24430.3,0.03126,0.99544,1,0.04766,0.000660299,0.000660299,0.000660299
63,24823.5,0.02646,0.99544,1,0.04249,0.000643795,0.000643795,0.000643795
64,25216.8,0.0329,0.99544,1,0.05328,0.000627292,0.000627292,0.000627292
65,25607.6,0.02979,0.99317,1,0.04906,0.000610789,0.000610789,0.000610789
66,25999,0.03043,0.99317,1,0.04681,0.000594286,0.000594286,0.000594286
67,26392.9,0.02545,0.98861,1,0.05582,0.000577782,0.000577782,0.000577782
68,26787.1,0.03181,0.99317,1,0.04131,0.000561279,0.000561279,0.000561279
69,27181.5,0.02921,0.99317,1,0.05445,0.000544776,0.000544776,0.000544776
70,27576.7,0.03001,0.99317,1,0.04367,0.000528272,0.000528272,0.000528272
71,27969.1,0.03003,0.99317,1,0.03761,0.000511769,0.000511769,0.000511769
72,28362.9,0.02865,0.99544,1,0.0455,0.000495266,0.000495266,0.000495266
73,28757.5,0.02653,0.99544,1,0.0496,0.000478762,0.000478762,0.000478762
74,29152.2,0.02766,0.99544,1,0.05176,0.000462259,0.000462259,0.000462259
75,29543.9,0.02823,0.99544,1,0.04487,0.000445756,0.000445756,0.000445756
76,29938.9,0.02608,0.99544,1,0.03819,0.000429253,0.000429253,0.000429253
77,30331.5,0.02785,0.99544,1,0.04561,0.000412749,0.000412749,0.000412749
78,30722,0.03053,0.99544,1,0.04623,0.000396246,0.000396246,0.000396246
79,31113.9,0.02692,0.99544,1,0.04876,0.000379743,0.000379743,0.000379743
80,31505.1,0.02545,0.99544,1,0.05654,0.000363239,0.000363239,0.000363239
81,31892,0.0241,0.99544,1,0.06673,0.000346736,0.000346736,0.000346736
82,32282.6,0.02811,0.99544,1,0.06864,0.000330233,0.000330233,0.000330233
83,32674.1,0.02323,0.99544,1,0.06594,0.000313729,0.000313729,0.000313729
84,33062.7,0.02344,0.99544,1,0.08532,0.000297226,0.000297226,0.000297226
85,33460.4,0.0265,0.99544,1,0.09518,0.000280723,0.000280723,0.000280723
86,33850.3,0.02519,0.99544,1,0.07724,0.00026422,0.00026422,0.00026422
87,34242.3,0.02286,0.99544,1,0.08259,0.000247716,0.000247716,0.000247716
88,34635.2,0.02301,0.99544,1,0.08096,0.000231213,0.000231213,0.000231213
89,35029.6,0.02382,0.99544,1,0.09961,0.00021471,0.00021471,0.00021471
90,35305.2,0.02507,0.99544,1,0.08228,0.000198206,0.000198206,0.000198206
91,35572,0.02347,0.99544,1,0.09624,0.000181703,0.000181703,0.000181703
92,35839.8,0.02088,0.99544,1,0.08446,0.0001652,0.0001652,0.0001652
93,36108.7,0.02364,0.99544,1,0.08247,0.000148696,0.000148696,0.000148696
94,36377.2,0.02265,0.99544,1,0.08301,0.000132193,0.000132193,0.000132193
95,36644.5,0.026,0.99544,1,0.08195,0.00011569,0.00011569,0.00011569
96,36912.6,0.02516,0.99544,1,0.09359,9.91865e-05,9.91865e-05,9.91865e-05
97,37180.5,0.02241,0.99544,1,0.09238,8.26832e-05,8.26832e-05,8.26832e-05
