epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,368.326,0.17474,0.99777,1,0.0097,0.000553751,0.000553751,0.000553751
2,721.54,0.07014,0.99777,1,0.01518,0.00109843,0.00109843,0.00109843
3,1071.52,0.07304,0.99555,1,0.01421,0.00163212,0.00163212,0.00163212
4,1426.09,0.10563,0.99332,1,0.0146,0.00161749,0.00161749,0.00161749
5,1788.87,0.07419,0.99555,1,0.01323,0.00160099,0.00160099,0.00160099
6,2151.22,0.0606,1,1,0.00514,0.00158448,0.00158448,0.00158448
7,2496.9,0.06084,0.99777,1,0.00839,0.00156798,0.00156798,0.00156798
8,2857.98,0.0623,0.99555,1,0.00708,0.00155148,0.00155148,0.00155148
9,3208.88,0.05014,1,1,0.00606,0.00153497,0.00153497,0.00153497
10,3554.59,0.05382,1,1,0.00178,0.00151847,0.00151847,0.00151847
11,3901.2,0.04456,1,1,0.00117,0.00150197,0.00150197,0.00150197
12,4248.43,0.04867,1,1,0.00182,0.00148546,0.00148546,0.00148546
13,4597.71,0.04146,0.99109,1,0.02793,0.00146896,0.00146896,0.00146896
14,4950.66,0.04647,0.99777,1,0.00653,0.00145246,0.00145246,0.00145246
15,5297.13,0.05464,0.99777,1,0.00468,0.00143595,0.00143595,0.00143595
16,5647.15,0.04288,0.99777,1,0.00387,0.00141945,0.00141945,0.00141945
17,5992.43,0.05017,1,1,0.00198,0.00140295,0.00140295,0.00140295
18,6333.34,0.03988,1,1,0.00065,0.00138644,0.00138644,0.00138644
19,6684.85,0.03897,1,1,0.00037,0.00136994,0.00136994,0.00136994
20,7029.16,0.04215,1,1,0.00092,0.00135344,0.00135344,0.00135344
21,7378.56,0.03914,0.99555,1,0.01453,0.00133693,0.00133693,0.00133693
22,7724.39,0.04338,1,1,0.00055,0.00132043,0.00132043,0.00132043
23,8070.95,0.04657,1,1,0.00141,0.00130393,0.00130393,0.00130393
24,8415.93,0.03916,0.99777,1,0.00726,0.00128742,0.00128742,0.00128742
25,8765.65,0.04082,1,1,0.0012,0.00127092,0.00127092,0.00127092
26,9110.9,0.03396,0.99777,1,0.00375,0.00125442,0.00125442,0.00125442
27,9457.71,0.04247,1,1,0.00032,0.00123791,0.00123791,0.00123791
28,9804.71,0.03639,1,1,0.00074,0.00122141,0.00122141,0.00122141
29,10154.1,0.03557,1,1,0.00282,0.00120491,0.00120491,0.00120491
