epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,83.3334,0.42049,0.97902,1,0.04266,0.00054784,0.00054784,0.00054784
2,167.197,0.15438,1,1,0.00742,0.00109622,0.00109622,0.00109622
3,255.747,0.13546,0.97902,1,0.0328,0.00163727,0.00163727,0.00163727
4,343.07,0.15587,0.98601,1,0.03596,0.00163399,0.00163399,0.00163399
5,426.183,0.15318,1,1,0.01234,0.00162299,0.00162299,0.00162299
6,511.003,0.13516,1,1,0.00323,0.00161199,0.00161199,0.00161199
7,592.643,0.14857,1,1,0.00288,0.00160099,0.00160099,0.00160099
8,673.302,0.08802,0.99301,1,0.0062,0.00158998,0.00158998,0.00158998
9,759.792,0.08356,1,1,0.00315,0.00157898,0.00157898,0.00157898
10,846.456,0.06691,1,1,0.00273,0.00156798,0.00156798,0.00156798
11,931.727,0.06671,1,1,0.00451,0.00155698,0.00155698,0.00155698
12,1015.79,0.08314,1,1,0.0059,0.00154598,0.00154598,0.00154598
13,1099.26,0.10561,1,1,0.00312,0.00153497,0.00153497,0.00153497
14,1181.07,0.0632,1,1,0.00072,0.00152397,0.00152397,0.00152397
15,1263.22,0.07357,1,1,0.01015,0.00151297,0.00151297,0.00151297
16,1340.54,0.05374,1,1,0.00117,0.00150197,0.00150197,0.00150197
17,1418.04,0.07678,1,1,0.00079,0.00149096,0.00149096,0.00149096
18,1498.44,0.07369,1,1,0.00047,0.00147996,0.00147996,0.00147996
19,1576.89,0.08406,1,1,0.00545,0.00146896,0.00146896,0.00146896
20,1655.65,0.06559,0.99301,1,0.01139,0.00145796,0.00145796,0.00145796
21,1731.51,0.06565,0.99301,1,0.00635,0.00144696,0.00144696,0.00144696
22,1808.6,0.07194,1,1,0.00165,0.00143595,0.00143595,0.00143595
23,1887.04,0.06738,1,1,0.00263,0.00142495,0.00142495,0.00142495
24,1965.25,0.07177,1,1,0.0046,0.00141395,0.00141395,0.00141395
25,2049.51,0.05243,1,1,0.00745,0.00140295,0.00140295,0.00140295
26,2128.52,0.03657,1,1,0.00222,0.00139195,0.00139195,0.00139195
27,2211.72,0.04809,1,1,0.00448,0.00138094,0.00138094,0.00138094
28,2291.66,0.03109,1,1,0.00332,0.00136994,0.00136994,0.00136994
29,2371.32,0.04701,1,1,0.00307,0.00135894,0.00135894,0.00135894
30,2453.11,0.04036,0.98601,1,0.02637,0.00134794,0.00134794,0.00134794
31,2533.74,0.03644,1,1,0.00295,0.00133693,0.00133693,0.00133693
32,2612.53,0.05184,0.99301,1,0.01202,0.00132593,0.00132593,0.00132593
33,2689.83,0.03817,0.99301,1,0.0266,0.00131493,0.00131493,0.00131493
34,2768.11,0.03054,0.99301,1,0.04626,0.00130393,0.00130393,0.00130393
35,2846.26,0.0407,1,1,0.00294,0.00129293,0.00129293,0.00129293
36,2923.17,0.05479,1,1,0.00036,0.00128192,0.00128192,0.00128192
37,3000.18,0.03988,0.99301,1,0.01066,0.00127092,0.00127092,0.00127092
38,3077.46,0.03935,1,1,0.00146,0.00125992,0.00125992,0.00125992
