epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,319.564,0.21551,0.99229,1,0.0252,0.000553857,0.000553857,0.000553857
2,620.461,0.0851,0.98972,1,0.03123,0.00109854,0.00109854,0.00109854
3,919.481,0.08947,0.99229,1,0.02102,0.00163222,0.00163222,0.00163222
4,1224.61,0.08928,0.99486,1,0.01386,0.00161749,0.00161749,0.00161749
5,1539.9,0.07184,0.98972,1,0.02651,0.00160099,0.00160099,0.00160099
6,1858.52,0.04577,0.99229,1,0.01537,0.00158448,0.00158448,0.00158448
7,2171.68,0.04437,0.99229,1,0.01873,0.00156798,0.00156798,0.00156798
8,2484.61,0.05152,0.98972,1,0.02748,0.00155148,0.00155148,0.00155148
9,2800.58,0.03314,0.99229,1,0.01593,0.00153497,0.00153497,0.00153497
10,3109.92,0.04244,0.99743,1,0.0081,0.00151847,0.00151847,0.00151847
11,3419.64,0.03673,1,1,0.00359,0.00150197,0.00150197,0.00150197
12,3727.73,0.03648,0.99743,1,0.00783,0.00148546,0.00148546,0.00148546
13,4041.19,0.03478,0.99743,1,0.01072,0.00146896,0.00146896,0.00146896
14,4356.32,0.03018,0.99486,1,0.00939,0.00145246,0.00145246,0.00145246
15,4674.62,0.03453,0.99743,1,0.00684,0.00143595,0.00143595,0.00143595
16,4995.2,0.01957,0.99743,1,0.00426,0.00141945,0.00141945,0.00141945
17,5310.72,0.02364,0.99486,1,0.00625,0.00140295,0.00140295,0.00140295
18,5624.33,0.02598,0.99743,1,0.00511,0.00138644,0.00138644,0.00138644
19,5935.03,0.02774,0.99743,1,0.01,0.00136994,0.00136994,0.00136994
20,6251.62,0.0201,0.99743,1,0.0029,0.00135344,0.00135344,0.00135344
21,6585.82,0.02325,1,1,0.00568,0.00133693,0.00133693,0.00133693
22,6908.24,0.02371,0.99743,1,0.00352,0.00132043,0.00132043,0.00132043
23,7217.43,0.02047,0.99743,1,0.0049,0.00130393,0.00130393,0.00130393
24,7537.63,0.0217,0.99743,1,0.00415,0.00128742,0.00128742,0.00128742
25,7856.8,0.01467,0.99229,1,0.01789,0.00127092,0.00127092,0.00127092
26,8165.7,0.02188,0.99743,1,0.00409,0.00125442,0.00125442,0.00125442
27,8463.17,0.03482,0.99486,1,0.02159,0.00123791,0.00123791,0.00123791
28,8763.63,0.02468,0.99743,1,0.00729,0.00122141,0.00122141,0.00122141
29,9061.56,0.01884,0.99743,1,0.00394,0.00120491,0.00120491,0.00120491
30,9359.51,0.02622,0.99486,1,0.01158,0.0011884,0.0011884,0.0011884
31,9664.62,0.02522,0.99743,1,0.00854,0.0011719,0.0011719,0.0011719
32,9976.94,0.01543,0.99743,1,0.00357,0.0011554,0.0011554,0.0011554
33,10280.1,0.00942,1,1,0.00167,0.00113889,0.00113889,0.00113889
34,10598.3,0.01587,0.99743,1,0.0051,0.00112239,0.00112239,0.00112239
35,10911,0.01033,0.99743,1,0.00276,0.00110589,0.00110589,0.00110589
36,11228.1,0.02944,1,1,0.00389,0.00108938,0.00108938,0.00108938
37,11541.7,0.01802,1,1,0.00269,0.00107288,0.00107288,0.00107288
38,11853.9,0.01996,1,1,0.00112,0.00105638,0.00105638,0.00105638
39,12152.5,0.01686,1,1,0.00171,0.00103987,0.00103987,0.00103987
40,12451.6,0.0177,1,1,0.0039,0.00102337,0.00102337,0.00102337
41,12777.5,0.01435,0.99743,1,0.00331,0.00100687,0.00100687,0.00100687
42,13101.8,0.00757,1,1,0.00062,0.000990365,0.000990365,0.000990365
43,13433.2,0.01459,1,1,0.00128,0.000973861,0.000973861,0.000973861
44,13740.3,0.0186,1,1,0.00106,0.000957358,0.000957358,0.000957358
45,14050.2,0.01338,1,1,0.0068,0.000940855,0.000940855,0.000940855
46,14362.7,0.00864,1,1,0.0014,0.000924352,0.000924352,0.000924352
47,14677.4,0.01907,1,1,0.00416,0.000907848,0.000907848,0.000907848
48,14989.5,0.01251,1,1,0.00232,0.000891345,0.000891345,0.000891345
49,15292.2,0.01301,0.99743,1,0.00636,0.000874842,0.000874842,0.000874842
50,15590.6,0.00917,1,1,0.00393,0.000858338,0.000858338,0.000858338
51,15890.6,0.00952,1,1,0.00262,0.000841835,0.000841835,0.000841835
52,16189.4,0.01193,1,1,0.0033,0.000825332,0.000825332,0.000825332
53,16488.6,0.01554,0.99743,1,0.00389,0.000808828,0.000808828,0.000808828
54,16786.1,0.01626,1,1,0.00632,0.000792325,0.000792325,0.000792325
55,17085,0.01512,1,1,0.00252,0.000775822,0.000775822,0.000775822
56,17382.1,0.01268,1,1,0.0033,0.000759318,0.000759318,0.000759318
57,17680.4,0.01285,1,1,0.0011,0.000742815,0.000742815,0.000742815
58,17977.2,0.01419,1,1,0.00132,0.000726312,0.000726312,0.000726312
59,18275.5,0.00943,1,1,0.00169,0.000709809,0.000709809,0.000709809
60,18573.6,0.00797,1,1,0.0014,0.000693305,0.000693305,0.000693305
61,18871.9,0.00874,1,1,0.00066,0.000676802,0.000676802,0.000676802
62,19170.2,0.00786,1,1,0.0004,0.000660299,0.000660299,0.000660299
63,19468.5,0.01045,1,1,0.00046,0.000643795,0.000643795,0.000643795
64,19765.4,0.00816,1,1,0.00073,0.000627292,0.000627292,0.000627292
65,20062.6,0.00881,1,1,0.00086,0.000610789,0.000610789,0.000610789
66,20359.1,0.01018,1,1,0.00118,0.000594286,0.000594286,0.000594286
67,20657.7,0.0101,0.99743,1,0.00394,0.000577782,0.000577782,0.000577782
68,20956,0.01036,1,1,0.00114,0.000561279,0.000561279,0.000561279
69,21254,0.0074,1,1,0.0013,0.000544776,0.000544776,0.000544776
70,21551.4,0.00994,1,1,0.00055,0.000528272,0.000528272,0.000528272
71,21850.6,0.0045,1,1,0.00022,0.000511769,0.000511769,0.000511769
